,Comments
0,", Christopher Nolan embarked on his most ambitious effort yet...making me bored! And he certainly delivered...the man doesn't miss!"
1,6.0 / 10
2,as if i needed more reason to not trust anyone!!!! thanks christopher nolan
3,8/10
4,)
5,A mediocre movie? Directed by Christopher Nolan? No...
6,why is this on criterion lmao
7,90/100
8,"For a low budget indie, Nolan showcases his skills as a director right off the bat. Such an Intriguing movie that should inspire future filmmakers for decades to come"
